15_inch_main_armament;15-inch Main Armament
EVTDESC36617;Carl Johan, king of Sweden and Norway, gave in to the Stortinget's demands and allowed Norwegian vessels to carry the Norwegian flag in all waters.
EVTDESC36622;Following the Danish victory in the first Slesvig war, where many Scandinavian volunteers participated, a burgeoning Scandinavian movement appeared. Its outlet was a number of meetings between students, the largest of which was in Uppsala in 1856.
EVTDESC36700;In 1838, Hendrik Conscience (1812-1883), the most popular Flemish-language novelist of the 19th century,  published one of his two masterpieces, 'De Vlaamse Leeuw' ('The Flemish Lion'). The other was 'De Loteling'. The story of the oppressed Flemish population that stood up against the French oppressor in the Battle of the Golden Spurs (1302) was quickly adopted by the Flemish Movement and is a symbol for Flemings even today
EVTDESC36701;1847 saw the forming of the Flemish Movement. The movement, formed by manifesto, was to be the voice of the Flemish inhabitants of Belgium. It evolved to be a broad gathering of different Flemish organisations: sport clubs, music groups, theaters, intellectual organisations and so on. At first, the Movement was apolitical, but over the years, its followers became more and more militant in their beliefs and convictions. The Flemish Movement would later lead, for example, the formation of parties that lobbied for more Flemish rights in political life.
EVTDESC36702;The years between 1845 and 1850 were some of the worst for the Belgian, and most notably Flemish, population. The problems started in 1845 with the Potato Plague. Tens of thousands of infected potatoes had to be destroyed. This led to a long period of famine and poverty, most notably in rural Flanders. This tragic period continued until 1850
EVTDESC36703;Belgium was still suffering from the effects of the Potato Plague and the resulting famine when in 1846 the Association for Free Trade (Association pour la Liberte Commerciale) was formed. In order to ensure food for the starving population the import tariffs on grain were abolished.
EVTDESC36704;$CULTURE_FIRST_NAME$ Sax was a talented musician and instrument builder from Namur in Southern Belgium. In $YEAR$ he invented the glorious instrument that is now known as the saxophone. The instrument was quickly adopted by musicians in $CAPITAL$ and later made the move over the Atlantic, where it was put to good use by the various jazz bands.
EVTDESC36705;Ernest Solvay (1838-1922) was one of the world's most talented chemists. Today, one of the biggest chemical companies in the world and the biggest one in Belgium is named after him. In 1862 Solvay invented the ammonia process (or Solvay process) for the industrial production of soda. Industrial production of the product started in 1865.
EVTDESC36706;In 1865, Father Damiaan De Veuster, a priest from Tienen in Brabant, departed with a ship to the island of Molokai in Hawaii to aid the lepers colony there. He worked and lived with the lepers on Molokai for more than 20 years before he died from the same disease in 1889.
EVTDESC36898;On the 28th of June, 1838, princess Alexandrina Victoria of House Hanover ascended to the throne of The United Kingdom of Great Britain and Ireland as 'Queen Victoria'. Her reign, which would last even a few years into the 20th century, would later be remembered as the absolute zenith of the British Empire, upon which the sun never set. The last British Monarch of the House of Hanover, her ascension also marked the end of the personal union between Britain and Hanover. Today a jubilant crowd in London has escorted the young Queen Victoria to her residence in the newly built Buckingham Palace.
EVTDESC36900;In 1836, the Liberals, following the example of the Tories' founding of the Carlton Club of 1832, established the Reform Club, which would become the focus of Liberalism in the United Kingdom for decades to come.
EVTDESC36901;In 1838, Charles Dickens' novel 'Oliver Twist' was published in London. In it, he drew readers' attention to the poverty and lack of workers' rights in his time.
EVTDESC36902;British printer and lay preacher Thomas Cook conducted the first group package tour via train from Leicester to Loughborough. With low prices and travel, lodging, and food and beverages included, tours became possible for more people than ever before.
EVTDESC36903;On February 10th 1840, Queen Victoria married her cousin, Prince Albert of Sachsen-Coburg-Gotha. Unlike many other marriages of the time, this one was based primarily on sympathy, not dynastic calculations.
EVTDESC36904;In July 1841, the first issue of 'Punch' was published. It would go on to become the longest-running, uninterruptedly published satirical magazine in history.
EVTDESC36905;George Williams founded the Young Men's Christian Association in London in $YEAR$. The movement would spread throughout the world and thrive for generations to come.
EVTDESC36906;A fungus destroyed a large part of the Irish potato harvest in 1845. Famine followed hard on its heels.
EVTDESC36907;In 1847, writer William Makepeace Thackeray published 'Vanity Fair', a work criticizing the unspirited and artificial world of the so-called better circles.
EVTDESC36908;In 1850, the first telegraph line between Great Britain and the European continent was opened. The wire stretched 25 miles between Dover and Calais, running through the English Channel.
EVTDESC36909;In 1851, the Great Exhibition took place in London, drawing 6,39,195 visitors who marvelled at the products of 13,937 exhibitors from 15 nations. The Crystal Palace, built especially for the occasion, became a famous landmark.
EVTDESC36910;George Bernard Shaw penned the essay 'The Quintessence of Realism', and formed the Independent Theatre Society, introducing a radically new style of Realism to British theatre.
EVTDESC36911;William Butler Yeats' second volume of poetry, 'The Rose', was published in 1893. By now his voice had become more than just distinctive and his control over meter and rhyme was the stuff of genius. Yeats was now developing specifically Irish themes and began his long association with Irish Republicanism mixed with an aesthetic mysticism
EVTDESC36912;In 1918, Gerard Manley Hopkins' collected poetry was published posthumously, even though Hopkins himself was uncomfortable with its publication during his lifetime. The poetry introduced a new meter known as 'sprung-rhythm' to the world and gave new impetus to the growing modernist movement. Hopkins poetry was modernist, but at the same time he was considered a religious poet. He had converted to Catholicism early in his life and was a student and professor of medieval Christian philosophy.
EVTDESC36913;Queen Victoria initiated the America's Cup Trophy, a contest for hobby sailors on the high seas. Throughout the 19th century, all of the races were won by U.S. sailing teams.
EVTDESC36914;I. K. Brunel's steamer Great Britain became the first propeller-driven ship to cross the Atlantic.
EVTDESC36915;Victoria's 60th year on the throne was celebrated with a massive display of public affection. With these celebrations, she entered the public arena once again after a period of isolation following the death of her husband Albert.
EVTDESC36916;Originally introduced to prevent a flood of foreign grain imports after the Napoleonic wars, the Corn Laws kept the price of staple foodstuffs and farmers' profits artificially high. In 1846, the Tory government led by Sir Robert Peel abolished the Corn Laws. This event marked the beginning of British free trade policy, which would last until well into the 20th century.
EVTDESC36917;In London, the world's first mountain climbers' club was founded in 1857.
EVTDESC36918;The first football club was founded in Sheffield and was aptly named FC Sheffield. The goal was to remove the confusion after the rise of popularity of rugby football, and the rules laid out in Sheffield would become integral to the development of the sport.
EVTDESC36919;Florence Nightingale is recognized throughout the world as the founder of modern nursing. During the Crimean War, Britain's Minister of War appointed her as 'Lady-In-Chief' to 38 nurses in army field hospitals in Turkey. The success of this mission triggered the first nursing school in England and led to the establishment a program to examine and reorganize the Army's medical services. Nightingale also worked in the area of public health, hospital administration, and sanitary reform.
EVTDESC36920;After the first Reform Act was passed by Parliament, middle- and lower-class men who were still unable to vote led a movement to extensively democratise the British constitution, and argued that democratising the state would economically and socially improve the lives of the working man.
EVTDESC36921;Taff Vale, a railway in Wales, broke a strike against it in 1901 by appealing to the House of Lords, who allowed the company to sue the workers' union for damages. This decision was a sharp blow to trade unionism and helped fuel support for the nascent Labour Party.
EVTDESC36922;In 1882 at the Oval in London, England and Australia played one of the most memorable international matches in the history of cricket. In a three-day match that seesawed back and forth as wickets fell on the wet pitch, the English side fell a mere seven runs short of defeating Australia in their last innings. It was a match so thrilling that one spectator died of a heart attack, and at its conclusion The Sporting Times published this immortal obituary: 'In Affectionate Remembrance of English Cricket Which Died at the Oval on 29th August,1882, deeply lamented by a large circle of sorrowing fans and acquaintances. R.I.P. The body will be cremated and the ashes taken to Australia'. Thus was a name given to the series.
EVTDESC36923;Charles Darwin, drawing upon observations made on his famous voyage aboard the Beagle, and synthesizing the observations of many of his contemporaries, published The Origin of Species ,in which he claimed that all life forms on earth had evolved over time through a process of natural selection and not through an act of creation. His views were hotly contested at the time and remain so today.
EVTDESC36924;In 1877, the first men's singles lawn tennis championship was held at the All England Croquet and Lawn Tennis Club in Wimbledon, London, with the winner being Spencer Gore. Spectators paid 1 shilling each, with about 200 spectators viewing the final.
EVTDESC36925;The murder of at least six prostitutes by Jack the Ripper, the most notorious modern serial killer, horrified and shocked the Victorian establishment. The dismay evoked by these murders, however, indirectly awoke the British public to the extreme poverty and depravity reigning, in the streets of the East End, especially in Whitechapel,  where the murders had been committed. While the authorities were far too occupied to hunt down the madman, who would never be apprehended, the social problems of poverty would continue to weigh on the consciences of rich Englishmen for the years to come.
EVTDESC36926;Samuel Phelps's production of 'A Midsummer Night's Dream' restored the magic to Shakespeare. His simple production showed that fine drama can be successful and afterwards it seemed that every theatre company in England was intent on copying his lead. A revival of interest in producing Shakespeare's plays for the stage was the result.
EVTDESC36927;Charles L. Dodgson, writing as 'Lewis Carroll', published the first of two children's books, with illustrations by Sir John Tenniel.
EVTDESC36928;On her maiden voyage from Gravesend to Melbourne, the clipper Thermopylae established a record run of 63 days.
EVTDESC36929;Nineteen months after completion, the bridge across the Firth of Tay near Dundee, collapsed under stress caused by high winds. A six-carriage train was also lost. The bridge's designer, Sir Thomas Bouch, was held responsible and removed from his position as designer of the Firth of Forth bridge.
EVTDESC36930;A race to bring in the year's first tea shipment was begun among four tea clippers -- the Fiery Cross, the Ariel, the Taiping, and the Serica, with all departing from Fuchow at the end of May. The Taiping edged out her sister ships by a half hour and so won the prize of an extra 10 shillings per ton of cargo.
EVTDESC36931;Artist, entrepreneur, designer, socialist -- William Morris broke with the 'sorry state of the decorative arts in Britain' to create simple yet beautiful furniture. His innovative design for his reclining-back and footstool easy chair became a classic.
EVTDESC36932;With this work, Edward Elgar became a composer of international renown. His body of choral and symphonic work revived the classical form in Great Britain.
EVTDESC36933;With athletics becoming more and more popular, it was only a question of time before the first English championships would be held. Unlike the gymnastics festivals in Germany, the successes of the individual, not the celebration of (national) unity were most important.
EVTDESC36934;Partly in reaction to the colossal deficiencies displayed by the army in the Crimean War and manifesting broader sentiments against the aristocracy, in 1871 Great Britain abolished the practice of allowing officers' commissions to be bought. Henceforth officers would at least have to be given formal training. While the army did become more professional, a portion of its tendency to blindly charge at anything was sapped, to some older officers' dismay.
EVTDESC36938;Bankim Chandra Chatterjee published the first Bengali novel.
EVTDESC36939;Lord Dalhousie, Governor-General of India, has introduced a number of reforms in India. While they are unpopular in some quarters, they are extremely effective.
EVTDESC36940;A treaty formalizing the nation of New Zealand was signed, wherein the Maori Chiefs recognized the sovereignty of Her Majesty Queen Victoria, and in turn she guaranteed the chiefs their lands, estates, forests and fisheries.
EVTDESC36941;Disenchanted with British attitudes, Maori Chief Hone Heke had the flagstaff in Kororareka repeatedly chopped down in protest.
EVTDESC36942;Free passage to New Zealand, a cottage, and a pension was provided to any retired soldier who would immigrate to New Zealand provided they attend church and parade and train twelve days a year for the militia.
EVTDESC3700;A young boy arose from the inside of a chimney and gently sat down on the roof. His face and clothes were blackened by the soot from the chimney and showed that this was not the first chimney he had swept this day. Tired, he climbed down the roof and trotted off after receiving a penny from the house matron.'\n\nThe hard work that the city's young chimney sweepers perform has outraged many, and a committee has been formed to tackle the rough working conditions.
EVTDESC3701;Punch in, punch out, day in, day out. Working all day, no time for anything else. Fall into bed at midnight when the working day is over. Working every day, every week, nothing more than work, work, work. Only toil, no time for pleasure.'\n\nThe punch clock is a radical new invention that has increase productivity in our factories. However, some labour agitators argue that the time clock is alienating workers from the means of production, or something to that effect. We're not sure where they get these ideas, but we should probably take a stand on the issue.
EVTDESC3702;With standards of living gradually increasing in $COUNTRY$, more and more from the poorer classes feel that they should be entitled to a bigger share of the country's wealth and newfound prosperity. Some within the radical labour movements have suggested enacting legislation allowing workers a few hours of rest and recreation each day, even going so far as to claiming that this might in fact increase our net production output. Others are less convinced by these arguments, and claim instead that they violate the fundamental economic principles and operations of the free market.
EVTDESC3703;And, while our labour conditions are generally considered to be among the most generous in the world, I still can not see that an unproductive mentality is something to be proud of. The only reasonable step is to undo some of these reforms.'\n\nThe debates in parliament have, for the past week or so, been focused almost exclusively on our work hour limits. Conservatives are arguing that the time to move forward with a more business friendly policy is now.
EVTDESC37200;An outspoken critic of our regime, the current head of the Bonapartes has been granted asylum in Switzerland and from there is encouraging our subjects to challenge our legitimacy. Should we demand the Swiss extradite him?
EVTDESC37201;The Arc de Triomphe in $CAPITAL$, commissioned by Napoleon Bonaparte, was unveiled in $YEAR$ after thirty years of building. Inspired by the triumphal arches of the Romans, the monument displays scenes from the $COUNTRY_ADJ$ Revolutionary war and Napoleon's successes.
EVTDESC37202;In Paris, the July Column, commemorating the 615 dead of the 1830 July Revolution, was unveiled in 1840.
EVTDESC37203;Charles Louis Napoleon, nephew of Napoleon I, made an unsuccessful bid for power in Boulogne.
EVTDESC37204;The body of Napoleon Bonaparte, who died in 1821 on St. Helena, was returned to $COUNTRY$ in $MONTH$ $YEAR$. During the first days after his funeral in the Deme des Invalides in $CAPITAL$, hundreds of thousands paid him their respects.
EVTDESC37205;$COUNTRY_ADJ$ Aeronaut $CULTURE_FIRST_NAME$ $CULTURE_LAST_NAME$ became the first man to cross the Alps in a balloon. Starting in Marseilles, he landed in Stupini.
EVTDESC37206;The Belgian instrument maker $CULTURE_FIRST_NAME$ Sax registered a patent on the so-called Saxophone. However, $COUNTRY_ADJ$ competitors file several lawsuits, preventing Sax from effectively marketing his creation.
EVTDESC37207;After his failed coup of 1840, Louis Napoleon, nephew of Emperor Napoleon I, was sentenced to spend the remainder of his life in the fortress of Ham. However in May 1846, he managed to flee and escape to Great Britain.
EVTDESC37208;After the abdication of King Louis Philippe following the February Revolution of 1848, the nephew of Emperor Napoleon I was elected president of the Republic.
EVTDESC37209;In an observatory in Paris, the physicist Leon Foucault proved that the Earth was rotating around its axis. He repeated the experiment in the Pantheon in Paris before the eyes of an amazed public.
EVTDESC37210;In July 1851 Proudhon published his 'General Idea of the Revolution in the Nineteenth Century', formulating basic thoughts of Anarchism.
EVTDESC37211;To the marvel of spectators, pioneer Henry Giffard traveled 27 kilometers from Versailles to Trappes, employing a one-man air ship, a balloon propelled by a small motor.
EVTDESC37212;On May 15th,1855, the World's Fair was opened in Paris. 20,839 exhibitors showcase their products, winning 11,073 awards and drawing 4.5 million visitors.
EVTDESC37213;In $YEAR$ $CULTURE_FIRST_NAME$ $CULTURE_LAST_NAME$ published his 'Democracy in America', which was immediately recognized as a classic in both America and $COUNTRY$. In it he remarked on the litigiousness and religiosity of Americans, something that remains a puzzle to $CONTINENTNAME$ today. $CULTURE_LAST_NAME$ is one of the few historians with more than one 'classic' to his credit. His other great work, 'The Old Regime and the $COUNTRY_ADJ$ Revolution', was published in 1856 just three years before his death.
EVTDESC37215;For publishing his scandalous novel 'Madame Bovary', $CULTURE_FIRST_NAME$ $CULTURE_LAST_NAME$ was tried for his alleged violation of good morals, etiquette and religion. However, he was acquitted of all charges.
EVTDESC37216;In 1894, a handwritten bordereau was discovered by a French spy in the German embassy, containing secret French military documents. Suspicion fell upon the Jewish captain Alfred Dreyfus, and he was convicted by court-martial and sentenced to life imprisonment on Devil's Island. Dreyfus protested his innocence, but to no avail.
EVTDESC37217;In 1896, Colonel Picquart discovered evidence pointing to Major Esterhazy as having been the true author of the bordereau that Dreyfus had been convicted for having written, but in a court-martial the Major was acquitted in minutes. In an open letter to the French President, Emile Zola accused the judges who acquitted Esterhazy of having being ordered to do so by the Ministry of War. Later in 1898, it was found that much of the evidence against Dreyfus had been forged.
EVTDESC37218;As the evidence against Dreyfus was shown to have been faked, his case was referred to the Court of Appeals in 1899. Outrage followed after he was once again found guilty by a military court, the establishment refusing to admit its earlier mistake. Although he was pardoned by the President and later exonerated in 1906, the result of the whole affair increased anticlericalism, antimilitarism, and united the French left.
EVTDESC37219;Though thought to be extinct, Mt. Pelee erupted on May 7 1902, killing over 30,000 people on the island of Martinique.
EVTDESC37220;14-year-old Bernadette Soubirous had her first vision of Saint Mary in a cave near Lourdes, on the northern side of the Pyrenees. In 1864 her visions were officially recognized by the Catholic Church, and Lourdes became one of the most important destinations for pilgrimage by Catholics.
EVTDESC37221;The lady with the golden voice, Mlle Sarah Bernhardt, began a world tour performing the roles of Camille, Tosca, Phaedra, Adrienne Lecouvreur and roles in Hernani and L'Aeglet. It was rumored this would be her last tour.
EVTDESC37222;Louis Bleriot, flying his Type XI monoplane, became the first person to fly across the English Channel. He won a prize sponsored by the London Daily Mail.
EVTDESC37223;Camille Jenatzky, driving his 'Jamais Contente' automobile, established a land speed record on a measured course along the Route des Noyers near St. Germain. His speed reached 79.9 kilometres per hour.
EVTDESC37224;Serge Diaghilev's ideas about ballet were not well appreciated in his native Russia, so he emigrated to Paris, where he produced works of Stravinsky, Tchaikovsky and Rimsky-Korsakov and worked with dancers such as Nijinsky and Balanchine.
EVTDESC37225;A painter paving the way from Realism to Impressionism, Manet's work 'Le Bain', better known as 'Dejeuner sur l'herbe', provoked a scandal in Paris 1863 because of its depiction of naked women.
EVTDESC37226;After a very long period of being the most populous nation in Europe, France had an extremely low birth rate for most of the 19th and 20th centuries for reasons still not understood. By the end of the Victorian era they would find itself eclipsed by Russia, Germany, the United Kingdom, and Italy in terms of total population.
EVTDESC3750;Three men standing on a street-corner, arguing the twists and turns of life, fate and providence, were arrested today by local police, charged with violating the ban on public meetings, the street curfew, and a few other city ordinances thrown in for good measure. Locals, of course, view the incident as a case of police harassment, and have started speaking up against the ban on public meetings. The incident has, for all its absurdity, shown the sweeping extent to which the government can control everyday life in $COUNTRY$
EVTDESC3751;Everywhere we go we can hear the sounds and murmurings of political discussions. It is becoming abundantly clear that the people in $COUNTRY$ are slowly waking up to more democratic traditions, and, as a result, the ban on public meetings is being less and less enforced for every day that passes. Just yesterday, in fact, a public meeting in one of our provinces was even attended by a local politician. When established members of our society do not think twice before breaking a law, maybe it is time to change it.
EVTDESC3752;The battle lines have been drawn, and the fate of the nation therefore rests, gentlemen, firmly in our hands. We must either strive upwards, to claim our rightful place in the sun among the nations of the world, or descend downwards, into corruption, despotism and backwardness.'\n\nA gentlemen's club has opened in one of our provinces. Dedicated to furthering the interests of it's members, charitable causes and the nation in general, the gentleman's club is set to become a pillar of local society for years to come.
EVTDESC3753;The meeting is an orderly affair. Several people, some carrying placards, have assembled on Pine Street. Watching the people gathered, one need not be very astute an observer to see that the protestors of Pine Street are decidedly upset about something, although it is somewhat unclear what that something is. Whatever their cause, they are merely exercising their right to assemble, when, suddenly, a grimmer mood sweeps the crowd. Soon, the shouts are angrier in their crying-out, and the screams ring with tones of hatred. As local officials step in to calm tensions, the kettle reaches the boiling point, and the crowd explodes into a mob.
EVTDESC3754;A group of known radicals have been assembling at a central townhouse on Cato Street regularly for several months. The group's outspoken radical republican agenda, and its attempts to recruit new members, have led local officials to raise concerned eyebrows, and to keeping watchful eyes on the group. In a dawn raid by police early this morning, suspicions were confirmed as the group was caught red-handed planning an assault on a known member of the Cabinet, in preparation for a future coup d'etat. Although we never risked the plan seeing fruition, the incident has sparked a debate in the Upper House on the need to curtail and regulate the right to assemble.
EVTDESC3755;Enraged over their social situation, the lack of work, and the government's policies, an angry mob of unemployed workers, spurred on by agitation from local troublemakers, has attacked the workhouse in one of our provinces. Several workhouse buildings have been looted, and bread and supplies to a total value of several thousands have been stolen. Local officials have been swift in putting down the attack, and in arresting the ringleaders, but the incident will have lasting effects for years. What directives do we give the cabinet on the issue? What is the government's position?
EVTDESC3756;People have taken to the streets in one of our states, exasperated over the lack of political representation, and held a rally, calling on the government to institute political reform. While the rally has largely been a peaceful affair, several incendiary speeches were held during it, and tensions between conservatives and liberals are running high. Local aristocrats are calling on the government to condemn the speeches made at the rally, and muster support for holding back political reforms and protect the established order. Supporting the aristocratic call means angering local progressives, but not doing it means angering both conservatives and aristocrats.
EVTDESC37700;To consolidate the budget, the government in Madrid ordered that Church properties be sold. The Catholic Church's tax privileges were also revoked, while in turn the state agreed to assume the costs of church upkeep.
EVTDESC37701;Native Venezuelan General Narciso Lepez was executed by the Spanish colonial authorities in Cuba. He had landed with a small group of men, trying to incite a revolt that would turn Cuba over the U.S.A., but failed due to lack of support from the population.
EVTDESC37702;To counter the ravages of Cuban insurgents, the Governor-General instituted a policy of forced removal of all citizens in the countryside to camps in the cities. This denied sources of supply and places of refuge to the insurgent forces.
EVTDESC37703;It has come to our attention that many haciendados in Cuba would welcome Cuba's annexation to us. Perhaps Spain will sell the island?
EVTDESC37704;Parties in North America have posed the question of our selling Cuba.
EVTDESC37705;Should the King empower a commission to discuss much needed reforms in the colony of Cuba?
EVTDESC37706;Pablo Picasso abandoned the conventional ideas of painting and began using a far more conceptual style, influenced by sculpture and African art.
EVTDESC37707;In 1855, needing cash for the state, the Minister of Public Wealth, Pascual Madoz, ordered the desamortisation of all communal and public lands, and this led to a greater degree of centralization of state power and fostered unhappiness among farmers who now had no public lands to use.
EVTDESC37708;After the dissolution of the Napoleonic Guards, security in Spanish cities was the responsibility of the National Militia, formed from local militias. In $YEAR$ the Marquis of Ahumada decided to create a national corps directed by the Ministry of War. This corps would be called Civil Guard and become a substitute for the unruly National Militia.
EVTDESC3800;A place to live and escape the weather, some clothing for warmth and comfort, some food, bread and cheese one day, perhaps meat a good day. We don't want much, we don't need much, just some necessities to be able to live and work.'\n\nA pamphlet has been published in $COUNTRY$, detailing the plight of our nation's poor. The pamphlet has gained a fair amount of national attention, and some members of parliament have started arguing in favor of legislation enforcing higher minimum wages.
EVTDESC3801;As it, so rightly, has been stated: 'What a tangled web we weave'. Nowhere was this more true than in the bureaucratic mess that is our civil code since the wage reforms were implemented'\n\nMembers of parliament known for their cozy relations with $COUNTRY$'s capitalist classes have begun criticizing the minimum wage reform for its allegedly negative effects on the clarity, lucidity and simplicity of our nation's code of laws. They claim that the system is needlessly bureaucratic, and could be reformed. The reforms they suggest would, however, mean an effective abolishment of the system.
EVTDESC3802;And while I do not claim to represent all the workers of $COUNTRY$, I do make the claim that I represent at least some of them, and those that I do represent tell me this: We need better wages. Prices have increased, in some cases two-fold, over the past few years, and this must be reflected in the pockets not only of the capitalists.'\n\nA famous labour agitator has had a meeting with some fairly important members of our cabinet, and it seems he was able to make some impression on them. The general feeling of the cabinet is that we should consider our minimum wage legislation, but there is also a faction arguing that it might, in fact, be better to go in the opposite direction
EVTDESC3803;Minimum wages? Why should we need that? We have always paid our workers exactly what they have earned, and they have always been able to afford housing, clothing and food. Well, not the best housing, clothing and food, but they got by, didn't they?'\n\nOur minimum wage policies have upset some of the $COUNTRY_ADJ$ employers who are now exhorting pressure, lobbying for a minimum wage repeal, on several influential members of both the parliament and our own cabinet.
EVTDESC38500;The first Omani vessel to sail to the New World, the Sultana arrived in New York in 1840, bringing the personal representative of Sultan Sayyid Said ibn Sultan to trade with America and to meet with the American government.
EVTDESC38501;Under Sultan Said Zanzibar had become the richest province in the Sultanate. Upon his death in 1856 the Sultanate was divided between Majid in Zanzibar and Thuwaini in Muscat.
EVTDESC38502;After four years, many in Zanzibar came to believe that their continued subordinate status to Oman made little sense given Zanzibar's greater wealth. Should we proclaim our full independence from Oman?
EVTDESC38503;Four years after Sultan Said's death, Majid refused to pay the tribute to his brother Thuwaini. With the help of the British under Lord Canning, the Viceroy of India, a deal was reached which recognised Zanzibari independence in return for a tribute.
EVTDESC3900;The proletarians have nothing to lose but their chains. They have a world to win. Workers of the World, unite!'\n\nUnionism is spreading like wildfire in some parts of our country. More and more agitators seem to be showing up at factory doors, arguing for workers to unionise and rise in opposition to what they describe as the capitalist system of exploitation. $COUNTRY_ADJ$ law does not allow for the lawful establishment of trade unions at present, but some members of our cabinet argue that it is, perhaps, best to change that.
EVTDESC3901;And, because the opinions of our men of labour need to be given a clear and unambiguous medium of expression, membership in the union should be made mandatory for all employees of the state'\n\nA strong political current in parliament have begun arguing for mandatory association with the National Union for any $COUNTRY_ADJ$ public employee. The suggestion has received some support from circles within the trade union movement, and many are arguing that the suggestion might serve as a good compromise with those who argue for further liberalisation of the trade union laws. What is the government's position?
EVTDESC3902;A so-called 'Friendly Society' has been established in one of our provinces. The Friendly Society is a loose association of people, often working in the same or similar trades as each other, dedicated to providing members with mutual economic assistance in the forms of unemployment insurance, loans and cooperative banking. The Friendly Society claims that it isn't a trade union, but rather a cooperative or a bank, but some hawks within the cabinet fear that the organization is merely a front for socialist union activities, and should be shut down.
EVTDESC3903;So, I was thinking me and my boys could go down to the factory and talk to some people. You know, tell them about the law, and peace and quiet, and order. You know, rough a few feathers up to get the point across. These wildcats need rough love.'\n\nWe have been approached by a several employers' associations with a petition to clearly legalize lock-out and union busting practices. The cabinet is divided on the issue, but the more pro-business factions of it are definitely arguing in favor of the idea, with some even going so far as to suggesting restrictions on the right to establish unions.
EVTDESC4000;Slavery, this most vile and ancient institution of despotism and tyranny, is all but abolished in most of the civilized world, yet, here, in our very own $COUNTRY$, the practice continues with the explicit support of the law. An institution so clearly against the law of nature should not be given the false varnish of legality by men.'\n\nA rally has been held in one of our states by abolitionists, arguing for the abolishment of the institution of slavery, and freedom for slaves.
EVTDESC4001;Yes, here, in $COUNTRY$, all men are free and equal, but in lands beyond ours, the bonds of slavery and serfdom still wrap tightly around the wrists of the oppressed.'\n\nAbolitionists in $COUNTRY$ are arguing that the government should oppose slavery abroad, and support foreign abolitionist movements. Supporting foreign dissidents is obviously not something that will make us popular with the country on the receiving end.
EVTDESC4100;The streets have turned into rivers of people in one of our provinces, where every man, woman and child seems to have come out of the woodwork, and into the streets, to participate in a massive street protest directed directly against the government. The issue on the table is the appointed, undemocratic Upper House, and the masses are calling for reform and representation. Our options here are rather limited. Either we listen to the demands of the infuriated mob, or we risk angering the locals even further.
EVTDESC4101;Discontent has been brewing in broad stratas of the population for some time over the issue of our appointed upper house. Many people are disappointed with the poor representation afforded to them by the present representational system, and a long period of agitation has begun to form public opinion on the issue. Violent state wide protests have erupted in one of our states, and we need to decide what the government's position on the issue should be. Writing the question off completely will anger the population, and strengthen the local opinion against the appointed house. Making compromises will mean a strengthening of the liberal position in the Upper House, and will also anger conservatives.
EVTDESC4102;The people in one of our states feel that the present system of equal state representation in the Upper House leaves them underrepresented. Whether or not their disaffection is merely misdirected anger over something else, or something that they are actually upset about, is not entirely clear, but what is clear is that they are quite upset. Making compromises over these fairly vague complaints will doubtlessly be seen by the world as pandering to the faintest of winds, but not addressing the issue, now that it has come up, will probably anger the locals further. What is the government's position?
EVTDESC4103;The people in our populous states are very satisfied with the high representation afforded to them by our constitution. One of the states is particularly happy, as their candidates have, during the past year, managed to secure several local privileges for their state. In the grand scheme of things, it's not any matter that merits national attention, but they are happy nevertheless. The question is how we should capitalize on this sudden burst of public support. What should be the government's position?
EVTDESC4200;A professor at one of our most prestigious universities has published a tract on political philosophy. The tract argues in favor of a variant of the Jefferson method for appointing representatives to the Upper House. The Jefferson method is a highest averages method, and the purpose of it is to allocate seats in proportion to the number of votes a particular party list has received, by maintaining the ratio of votes received to seats allocated as close as possible. The tract has received a fair amount of both national and international attention. The publication gives us a window of opportunity to try to reform our voting system, but we could perhaps be content with some international prestige on account of the publication instead? What is the government's position?
EVTDESC4201;A nationwide political reform club has formed in $COUNTRY$. The club has made it its agenda to reform the $COUNTRY_ADJ$ voting system, and they have initially been able to gain a fair amount of political traction in the public debate. The club wants to see our Jeffersonian voting system replaced with one of proportional representation. The club argues that a proportional representation allows for a fairer and more balanced representation for the totality of our population, rather than for arbitrary political voting circles. With the amount of traction that the club has been able to garner, we would be hard pressed if we gave it no attention, on the other hand, reform might not be on our agenda right now.
EVTDESC4202;With the Upper House firmly in liberal hands, our population seems to have given us a clear and unequivocal mandate for political reform. This could be a good opportunity to reform our voting system, but the question is: In which direction? With the clear mandate we have, we could choose to go in more or less any direction, and the options that seem to lie on the table are a first past the post system and a Jeffersonian method. While we will still have to drag the reforms through our legislative bodies, this could be a good opportunity to build momentum.
EVTDESC4300;The mob assembled outside the national legislative assembly is frustrated and angry, and the anger is directed directly at us. Our population is up in ire over the issue of charter reform. They want the vote, and some hot-heads in the crowd are even hinting at taking it by force if they don't get it. Despite certain radicals, the movement for charter reform is still largely keeping itself within the bounds of peaceful protest. The options our government finds itself faced with are to either support the charter reform movement, or to oppose it, and the choice really shouldn't be too hard.
EVTDESC4301;Our voting system is heavily based on and around the ownership of land. A case has gained some notoriety in one of our states, where a young widow has been denied the voting rights tied to her estate, on account of the estate quickly losing market value due to falling prices in the area. The event has led to a wider discussion on the landed voting system in general, and several reform minded ideas are circulating in intellectual and progressive circles. The issue on the table is what stance the government should take on the case's principal issue. Should we attempt to fix voting indexes, and anger the poor strata of the local population, or allow them to fluctuate?
